-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
CLN7  322447.4N1034827.0W 1033.0Carlsbad
CLNB  321551.0N1035243.2W 1045.0Carlsbad
CLNS  565013.0N1245335.0E  704.0Chul'man
CLO   450426.0N 224807.0E  335.0Closani
CLP   360209.0N1061425.0W 2591.0Clara Peak
CLPO  451445.6N 765751.0W  272.0Centennial Lake Park
CLR  C424000.0N 134300.0E    0.0Collurania
CLS  C383812.0N1223506.0W  457.0Calistoga
CLT  C380200.0N 783100.0W  150.0Charlottesville
CLTB  373442.9N 131256.2E  957.0Caltabellotta
CLTN F                          G.S.C. Charlevoix Local Telemetered Network
CLTR  405400.0N 152627.0E  670.0Calitri
CLU  C464500.0N 233900.0E    0.0Cluj (Kolozvar)
CLV   334128.0S1362944.0E  238.0Cleve
CLVB  492254.0N1230840.8W  427.0Cleveland Dam
CLW  C483536.0N1175255.2W  585.0Colville
CLX   481230.2N1150759.5W 1975.0Calx Mountain
CLY  C435104.8N 742656.4W  579.0Crystal Lake
CLZ   515034.3N 102226.8E  680.0Clausthal
CM01  182513.8N 985731.7E  292.0Chiang Mai Array Site 1
CM02  182603.8N 985647.8E  305.0Chiang Mai Array Site 2
CM03  182534.7N 985834.3E  304.0Chiang Mai Array Site 3
CM04  182358.9N 985844.0E  336.0Chiang Mai Array Site 4
CM05  182404.7N 985642.4E  336.0Chiang Mai Array Site 5
CM06  182456.2N 985626.2E  332.0Chiang Mai Array Site 6
CM07  182601.3N 985549.4E  302.0Chiang Mai Array Site 7
CM08  182643.1N 985727.7E  295.0Chiang Mai Array Site 8
CM09  182638.0N 985926.9E  345.0Chiang Mai Array Site 9
CM1   455601.3N 932110.0W  324.0Central Minnesota Array
CM10  182547.3N 990006.8E  341.0Chiang Mai Array Site 10
CM11  182232.2N 985737.4E  320.0Chiang Mai Array Site 11
CM12  182422.0N 985531.4E  330.0Chiang Mai Array Site 12
CM13  182516.0N 985424.8E  303.0Chiang Mai Array Site 13
CM14  182610.0N 985449.0E  322.0Chiang Mai Array Site 14
CM15  182708.6N 985528.2E  324.0Chiang Mai Array Site 15
CM16  182727.0N 985634.4E  358.0Chiang Mai Array Site 16
CM17  182727.7N 985744.6E  325.0Chiang Mai Array Site 17
CM18  182739.6N 985858.8E  314.0Chiang Mai Array Site 18
CM2   455826.8N 930942.4W  323.0Central Minnesota Array
CM3   435229.0N 930035.0W  294.0Central Minnesota Array
CM31  182727.0N 985634.4E  306.6Chiang Mai Array Site 31
CM32  183911.9N 985048.8E  292.0Chiang Mai Array Site 32
CM33  184903.7N 985647.8E  358.0Chiang Mai Array Site 33
CM34  185104.0N 990859.3E  315.0Chiang Mai Array Site 34
CM35  184041.2N 990914.0E  283.0Chiang Mai Array Site 35
CM36  183105.5N 990543.4E  310.0Chiang Mai Array Site 36
CM4   454500.0N 930607.0W  298.0Central Minnesota Array
CM5  R454658.9N 931924.2W  298.0Central Minnesota Array
CM6   455135.6N 931151.8W  310.0Central Minnesota Array
CMA  C641724.0N1491048.0W  181.0Clear Mews
CMAH  363730.0N  72510.8E  795.0Djebel Manchoura
CMAR  182727.0N 985634.4E  307.0Chiang Mai Array Beam Reference Point
CMB   380204.4N1202311.4W  697.0Columbia College
CMBC    5133.9N 775030.7W 3420.0Cumbal
CMC  C675000.0N1150500.0W   31.0Kugluktuk (Coppermine)
CMCH  311024.6S 710004.7W  906.0Combarbala
CMCM  374652.7N1221032.9W   90.0Mills College
CMCZ C450857.0S1691630.0E 1039.0Cairnmuir Mountains
CME   501033.6N  51125.1W  178.0Menerdue Farm
CMEN C414102.4N 812414.4W  188.0Mentor
CMER  353712.0N  55400.0E 1020.0Merouana
CMF  C432126.4N  62322.2E  152.0Cannet des Maures
CMG  C144014.4N 894707.2W 1802.0La Cumbre
CMG2 C143939.0N 894712.0W 1710.0La Cumbre 2
CMH  C343310.8N1143419.2W  940.0Chemehuevi Mountains
CMHM                            (Alternate Abbreviation for MHR)
CMI   443131.2N1113718.6W 2377.0Centennial Mountain
CMIG  170527.6N 945302.4W  200.0Colonia Cuauht\'emoc, Matias Romero
CMJ   180808.9N 762221.7W  333.0Castle Mountains
CMJM                            (Alternate Abbreviation for MSJ)
CML   374614.9N 253245.3W  291.0Cha de Macela
CMLA  374549.3N 253127.5W  332.0Ch\~a de Macela
CMLM  372838.4N1213905.4W 1076.0Mount Lewis
CMMM  372720.4N1212937.2W 1117.0Mount Mocho
CMN  C404857.6N1173140.2W 1792.0Crown Mine
CMNM  373739.0N1214230.0W  245.0Mines Road
CMO   645136.0N1475006.0W  183.0College--Fairbanks
CMOM                            (Alternate Abbreviation for MTC)
CMP   451606.0N 250218.0E  598.0Campulung
CMPA R402100.0N 760036.0W    0.0
CMPB  214702.3S 412544.7W   56.9Campos
CMPM  372127.6N1211830.6W  799.0Mikes Peak
CMR  C430800.0N 130400.0E    0.0Camerino
CMRM                            (Alternate Abbreviation for MNR)
CMS  C312912.0S1454942.0E  255.0Cobar Meteorology Station
CMSA  313220.4S1454125.1E  220.0Cobar Meteorology Station
CMSB  375219.0N1221506.0W  -72.9University of California Stadium
CMT   463100.0N1115600.0W 1402.0Clancy
CMTX C330037.8N1005030.6W  811.0Cooper Mountain
CMU  C391016.8N1103709.6W 2332.0Cedar Mountain
CMW   482525.3N1220708.4W 1190.0Cultus Mountains
CMX                             (Alternate Abbreviation for COLM)
CMZ  C433510.1S1723822.6E  255.0Cashmere
CN-                             (Alternate Abbreviation for CN-WS)
CN-WSC451134.0N 910741.0W  320.0Cornell
CN2   434805.0N1252654.0E  230.0Changchun
CNA  C632347.0N1485642.0W  700.0Cantwell
CNB   351854.0S1492148.0E  850.0Canberra Magnetic Observatory
CNBA  544912.0N1593519.2W   94.0Chernabura Island
CNC  C375800.0N1220418.0W   36.0Concord--Diablo Valley College
CNCB  164845.7S 675855.6W 4325.0Chanca
CNCH  131634.8N 875001.2W 1056.0Conchagua
CNCI  435544.4N1132710.8W 1914.0Crows Nest Canyon
CNCM R374521.6N1215924.0W  306.0Norris Canyon Road
CND   384955.2N1151722.9W 2292.0Currant
CNE  C343501.8N1001837.2W  555.0Childress
CNF  C473458.2N  61903.6E    0.0Cerre les Noroy
CNG   261730.0S 321118.0E  100.0Changalane
CNGN  123000.0N 864154.6W  515.0Cerro Negro
CNH  C434945.0N1251848.0E  236.0Changchun
CNI    92500.0N 823100.6W   20.0Changuinola
CNIL  362212.0N  60316.2W   63.0Conil
CNJ  C410209.0N 750015.0W  351.0Catfish Pond
CNK  C393028.8N 974246.8W  465.0Concordia
CNL  C463910.8N1185501.2W  293.0Connel
CNM  C365500.0N1063408.0W    0.0Chama
CNN  C390842.0N 842948.1W  203.0Cincinnati
CNO  C343440.8N1002006.6W  562.0Childress
CNP  C123037.8N1243947.4E    0.0Catarman
CNPM  593133.0N1511409.6W  564.0China Poot
CNQ   491808.0N 680428.0W  200.0C\^ote-Nord (Baie Comeau)
CNR  C124021.0N 870419.8W  240.0Chonco
CNRM F                          Centre National de Recherche, Morocco
CNS   362212.0N  63645.0E  670.0Constantine
CNSN F                          Canadian National (broadband) Seismic Network
CNT                             (Alternate Abbreviation for GZH)
CNTC  581552.2N1555301.2W    0.0Contact Creek
CNU                             (Alternate Abbreviation for CDU)
CNV                             (Alternate Abbreviation for CBN)
CNW  C343530.0N1002134.8W  540.0Childress
CNY   404918.0N 735712.0W    0.0City College of New York
CNZ   391200.0S1753251.0E 1116.0Chateau
CO-                             (Alternate Abbreviation for CO-SD)
CO-SDC431712.0N 994013.0W  640.0Colome
CO2   335049.8N1152040.8W  276.0Coxcomb Mountains 2
COA   325148.6N1150721.6W   35.0Coachella
COAS C135312.0N 893419.0W 1260.0Coatepeque
COASPF                          Cooperative Arctic Seismological Project
COB  C410516.0S1724402.0E  213.0Cobb River
COB3   11120.4N 772050.3W 3625.0
COBQ R360627.6S 724438.4W  100.0Cobquecura
COBT  363111.0N 361520.0E 1710.0\.Iskenderun
COC    65400.0N 795200.0E    7.0Colombo
COCH  360752.7S 724718.4W   23.0Cobquecura
COCO  121124.4S 965005.6E  -69.0West Island
COCR C103309.6N 834015.0W   10.0Barra Colorado
COD   414109.0N 700806.0W  -85.0South Dennis
CODE R444752.8N 104254.0E   27.0Correggio--Codeluppi
CODM  442327.0N  95100.0E  350.0
COE   371527.6N1214021.0W  366.0Coe Ranch
COEN R     0.0N      0.0E    0.0Coen
COFN  120900.0N 860636.0W   50.0Cofrada
COH   353448.6N1061817.4W 1646.0Cochiti
COI   401224.0N  82506.0W  140.0Coimbra
COJ  R354207.9N1405118.0E  -42.0Choshi
COK   325057.1N1154336.5W  -15.0Cook Ranch
COL  C645400.0N1474736.0W  320.0College Outpost
COLA  645225.7N1475104.0W   74.0College
COLF  453104.3N  34142.4E  725.0Collangettes
COLI  460800.0N 132242.0E  250.0Colloredo
COLM  191051.0N1034127.5W  779.3Colima
COLN  340400.0S 702724.0W 2160.0Col\'on
COLR C380840.9N1180315.1W 1835.0Columbus
COLW  435744.2N1104145.6W 2079.0Colter Canyon
COM  C161512.0N 920741.0W 1528.0Comitan
COM2 C161430.0N 920813.8W    0.0Comit\'an 2
COMI  432742.6N1133537.8W 1890.0Craters of the Moon
CON   364941.0S 730242.0W   46.0Concepci\'on
CONA  475543.5N 155146.1E 1046.0Conrad Observatory
CONC R364946.2S 730207.2W   60.0Concepci\'on
CONN  113351.0N 853732.4W  250.0Concepci\'on
CONY  423956.9N 742807.7W  468.0Cobleskill
COO  C303440.0S1515330.0E  653.0Cooney Tunnel (Armidale)
COOL  305301.8S1210840.8E  500.0Coolgardie
COP   554107.1N 122557.0E   13.0Copenhagen
COPE R402300.1N 160409.2E  800.0Corleto Perticara
COPM R295503.9S1505604.9E  571.0Copeton
COPN  121048.0N 863530.1W  150.0Copaltepe
COQ  C335137.8N1173034.9W 1634.0Corona Quarry
COQB  492115.2N1224629.0W  161.0Coquitlam Dam
COR   443508.6N1231811.5W  121.0Corvallis
COR2  174435.8S 484121.0W  950.0Caldas Novas
CORG  421349.1N  11903.4E  716.0Organya (Orga\~n\'a)
CORK C515300.0N  82800.0W    0.0Cork (Corcaigh)
CORN  180948.6N 671045.8W    8.0Cornellia Hill
CORO  412708.0S1470842.0E    0.0Coronation Park
CORR R445407.2N 110034.2E   12.0San Possidonio
COS  C125728.8N 873430.6W  500.0Cosiguina
COSM  373030.6N1212226.4W 1020.0Mount Oso
COSP  412626.4N 735541.4W  128.0Cold Spring
COT  C331818.6N1152112.6W  294.0Chocolate Mountains
COTA    2006.0N 782016.2W 4020.0Cotacachi
COTN C354703.0N 865814.4W  320.0Columbia
COTO R     0.0N      0.0E    0.0
COTR C383830.1N1184618.5W 1890.0Cottonwood
COV  C443439.6N 730845.0W   85.0Colchester
COW   332254.0N 804157.6W   60.0Cow Castle Creek
COWN  651604.6N1111109.5W  513.0Contwyoto Lake 2
COWO R404857.0N 815616.2W  328.0College of Wooster
COY   332150.4N1161837.8W  232.0Coyote Mountain
COZ   451913.8N 242033.0E 1610.0Cozia
CP-                             (Alternate Abbreviation for CP-CL)
CP-CLC324344.0N1162216.0W 1189.0Campo
CP-SOC353541.0N 853414.0W  574.0Cumberland Plateau Observatory
CP2   611551.0N1521430.6W 1981.0Crater Peak Two
CPA   325849.8N 712525.2E  335.0Ch\=apri
CPAM  611517.4N1520829.4W 1192.0Crater Peak Alternate
CPB   173824.0N 614933.6W    5.0Codrington
CPBX  322503.6N1151814.4W  180.0Cerro Prieto
CPC  C345400.0N 765300.0W    0.0Cherry Point
CPCH  272128.8S 702110.8W  360.0Copiap\'o
CPCT  352659.1N 843118.5W  275.0Cooper Cave
CPD   180220.0N 655455.5W  370.0Cerro la Pandura
CPE   325248.0N1170600.0W  213.0Camp Elliot
CPH   192917.4N1555505.4W  323.0Captain Cook
CPI   435200.0N1161800.0W    0.0Crown Point
CPI2  413507.0N 141907.0E  750.0Carpinone
CPIM  375920.0N1221252.8W  226.0Pinole Ridge
CPK   192342.0N1551942.0W 1038.0Cone Peak
CPKM  611548.0N1521400.0W 2017.0Crater Peak Rim
CPL  C414720.3N 720626.1W  161.0Chaplin
CPLM  373815.0N1215738.4W  317.0Palomares Road
CPM   340914.4N1161148.0W  937.0Copper Mountain
CPMM  375656.4N1222427.6W  116.0Point Molate
CPN  C370837.8N1161616.8W 1759.0CP-17
CPNM  373900.6N1215142.0W  200.0Pleasanton Water Tower
CPNY  404728.3N 735736.0W   27.0Central Park
CPO  C353541.4N 853413.5W  574.0Cumberland Plateau
CPO5                            (Alternate Abbreviation for CPOT)
CPOT  353613.8N 853424.6W  570.0Cumberland Plateau
CPP   272115.0S 702104.0W  384.0Copiapo
CPR  C614724.0N1655718.0W    0.0Cape Romanzof
CPRX  330151.0N1035200.0W 1356.0Cap Rock
CPS   354727.6N  55436.0W  326.0Cap Spartel
CPT  C331809.0N1172022.2W   61.0Camp Pendleton
CPTM  360415.6N1175059.3W 1494.0Cactus Peak West
CPU   404023.0N1121125.0W 2228.0Coon Peak
CPUP  261950.0S 571945.0W    5.0Villa Florida
CPW   465825.8N1230810.8W  792.0Capitol Peak
CPX  C365548.0N1160318.0W 1285.0CP-1
CPXM R342835.3S1503729.1E  622.0Mount Cotopaxi
CPY  C365554.8N1160321.2W 1304.0CP-1
CPZ   500921.6N  53500.6W  198.0Penzance
CQ-NVC375415.0N1142815.0W 1804.0Caliente
CR-                             (Alternate Abbreviation for CR-NB)
CR-NBC403952.0N 965115.0W  442.0Crete
CR1   170243.2N 930654.6W 1200.0Presa Chicoas\'en 1
CR2   165306.0N 925728.8W 1743.0Presa Chicoas\'en 2
CR2G   11227.7N 772132.4W 4058.0
CR2NBC403812.0N 965054.0W  418.0Crete
CR3   164851.6N 925716.8W 1200.0Presa Chicoas\'en 3
CR4   164301.8N 930429.4W  900.0Presa Chicoas\'en 4
CR5   164900.6N 930707.8W 1300.0Presa Chicoas\'en 5
CR6   165729.4N 931333.6W 1700.0Presa Chicoas\'en 6
CR7   171358.8N 931012.0W 1750.0Presa Chicoas\'en 7
CRA   481700.0N 255600.0E  242.0Chernivtsi (Chernovtsy)
CRAM  374601.9N1215615.0W  171.0San Ramon
CRB  C481800.0N 255600.0E    0.0Chernovtsy
CRBA R     0.0N      0.0E    0.0Crater Peak
CRBI  434949.2N1123804.2W 1543.0Circular Butte
CRC  C371430.0N1220749.0W  607.0Castle Rock
CRD   382211.4N1222742.0W  620.0Cavedale Road
CRE   433711.0N 115703.0E 1170.0Caprese Michelangelo
CRES  454933.5N 152724.8E  431.0Cresnjevec pod Ostrcem
CRF   464930.0N1192313.2W  189.0Corfu
CRG   160315.0N 613933.0W 1370.0Carmichael
CRGC  351431.9N1194323.9W 1204.0Crocker Grade
CRH   380107.2N1203034.2W  475.0Carson Hill
CRI   324055.2N 350242.0E  430.0Mount Carmel
CRID  351807.2N 901958.8W   36.0Crittenden County--Downhole
CRIN  124200.0N 870300.0W  685.0San Crist\'obal
CRIS  351807.2N 901958.8W   64.0Crittenden County--Surface
CRJA  374805.8N 130015.6E  560.0Costa Raja
CRL  C390800.0N  81900.0E   18.0Carloforte
CRLO  460215.0N 772248.3W  168.0Chalk River
CRLZ  433437.0S1723715.0E   30.0Canterbury Ring Laser
CRM   144513.2N 605455.8W  180.0Caravelle
CRN  C433751.0N 125952.0E  271.0Corinaldo
CRNM  335709.0N1064404.2W 1662.0Carthage
CRNY  411842.6N 733253.4W  293.0Cross River
CRO  C340859.7N 943320.2W  302.0Carnasaw Mountain Lookout Tower
CROG C435418.0N 752445.0W  244.0Croghan
CROR  445858.2N1205917.4W 1015.0Criterion Ridge
CRP   611601.2N1520919.8W 1622.0Crater Peak
CRPM  375445.0N1215419.8W  331.0Russellman Park
CRQ   501015.0N  51111.0W  165.0Rosemanowes
CRQ2 R501000.8N  51007.3W  152.0Rosemanowes 2
CRQB  380320.8N1221329.5W  -63.4Carquinez Bridge
CRQM  604524.0N1430821.0W 1853.0Cirque
CRR   325310.8N1155806.0W   98.0Carrizo Plain
CRS   565400.0N1181608.0E  700.0Chara
CRT   371124.0N  33552.5W  774.0Cartuja (Granada)
CRTN  361159.4N 835026.4W  488.0Comb Ridge
CRU   363542.0N 890112.0W  127.0Crutchfield
CRUC   12955.2N 765708.2W 2743.0La Cruz
CRUN  115859.9N 861800.0W  930.0El Crucero
CRUV  104029.3N 631410.7W   20.0Car\'upano
CRV  C154704.0S 732223.0W 1780.0Caraveli
CRVI R414326.0N 141820.0E  910.0Carovilli
CRX   192423.0N 994048.0W 2997.0Cerrillo
CRZ  C342555.0S1724047.0E  140.0Cape Reinga
CRZC  105712.0N 853548.0W  325.0La Cruz
CRZF  462546.7S 515140.4E  140.0Port Alfred (Crozet Islands)
CS-                             (Alternate Abbreviation for CS-TN)
CS-TNC354855.0N 850934.0W  579.0Crossville
CSA  C543540.0N1645230.0W  152.0Cape Sarichef
CSAM  374025.2N1214215.0W  215.0Sandia
CSB   181722.9N 660924.2W  470.0Colonia Sabana
CSC  C340000.0N 810200.0W   94.0Columbia
CSCM                            (Alternate Abbreviation for SVC)
CSCO R395342.0N 834752.8W  304.0Clark State Community College
CSD   385100.0N 694648.0E    0.0Chor-Sady
CSE  C343321.0N1001949.8W  521.0Childress
CSEM F                          Centre Seismologique Euro-Mediterraneen, France
CSEN  474800.0N1221236.0W    0.0Crystal Springs Elementary School
CSF   542652.1N  31434.8W  540.0Scaffel
CSG   603939.6N1445118.0W  678.0Childs Glacier
CSH  C373927.0N1220312.0W  170.0California State, Hayward
CSHM                            (Alternate Abbreviation for CSH)
CSI   394635.5N 161722.0E  507.0Cassano Ionio
CSIL C373755.0N 884724.0W  168.0Creal Springs
CSJ  C182258.8N 653704.8W   66.0Cape San Juan
CSL   341458.9N1171642.0W 1490.0Crestline
CSLB  375614.0N 140417.0E  420.0Castelbuono
CSLM  374327.6N1220706.0W  246.0San Leandro Hills
CSM  C404500.0N 135400.0E  123.0Casamicciolo (Isola d'Ischia)
CSN   165808.0N 930629.0W  320.0Chicoasen
CSNT  432820.0N 111728.0E  573.0Castellina in Chianti
CSO   461624.0N 121926.0E 1070.0Casso
CSOR  422232.2N  10802.0E 1227.0Sort
CSP   341752.9N1172126.8W 1268.0Cedar Springs
CSPM  375727.0N1221839.0W  216.0San Pablo Ridge
CSPT  354539.6N 834926.4W  335.0Cold Springs
CSR   365727.6N1213500.6W  241.0Chase Ranch
CSRY C435809.0N 741030.0W    0.0Cold Spring River
CSS   345744.0N 331950.0E  396.0Cyprus Station -- Prodhromos (Mathiati)
CSSM  360134.8N1174600.6W 1143.0Coso Springs South
CSSN  405139.0N 150126.0E  690.0Cassano Irpino
CST   131730.0S 751924.0W 3947.0Castrovirreyna
CSTJ  310712.0N 364037.2E  760.0Casr Tuba
CSTL  373821.0N1212953.4W  205.0Corral Hollow
CSTOPF                          (keyword for telegraphic format)
CSU   325909.6N 800414.4W    0.0Charleston Southern University
CSV  R 83014.4N 723119.2W   50.0Casigua
CSVM  375152.8N1220009.6W  238.0Stone Valley
CSW  C343325.2N1002052.8W  546.0Childress
CSY   661721.8S1103144.0E   56.0Casey Station
CSZ   462823.0N 123702.0E 1825.0Casera Razzo
CT-                             (Alternate Abbreviation for CT-OK)
CT-OKC342917.0N 950738.0W  305.0Clayton
CTA   200518.0S1461516.0E  357.0Charters Towers
CTAO  200518.0S1461516.0E  357.0Charters Towers
CTAS C134456.0N 895155.0W  355.0Cauta
CTB  C 71200.0N1241200.0E   50.0Cotabato
CTBH   71315.6N1241445.6E   50.0Cotabato--PC Hill
CTBM R341553.3S1504838.6E  322.0Cataract Bedrock
CTC  C553830.0N1214500.0W    0.0Chetwynd
CTCR C 85346.2N 824533.6W 1620.0Cot\'on
CTDM R341601.9S1504808.2E  294.0Cataract Dam
CTEI  360346.8N  62422.8E 1285.0Djebel Teioualt
CTFE  282846.4N 161543.7W  270.0Tenerife--Las Mesas
CTFL  373846.8N1214021.0W  295.0Taylor Farm
CTGM  605754.0N1412000.0W 1554.0Chitina Glacier
CTHA C413231.8N 810639.0W  362.0Thorn Acres
CTI   460253.3N 113859.4E 1189.0Castello Tesino
CTK   404124.0N 344934.0E 1250.0\c Catak
CTKT R403723.0N 344723.0E 1650.0\c Corum
CTLM C373926.4N1213837.8W  458.0Tesla Road
CTM   355554.0N1202013.2W 1189.0Castle Mountain
CTN  R403720.0N 965654.0W  432.0Crete
CTO  C335700.0S 182700.0E  100.0Cape Town
CTOM C414130.0N 810850.4W  387.0Thompson
CTP   323418.0S 711842.0W  116.0Catapilco
CTR   435227.0N 742736.0W  585.0Castle Rock
CTRG R     0.0N      0.0E    0.0Cantorama
CTS  C373923.4N1164330.4W 1877.0Cactus Peak
CTT   410850.2N 282547.1E  324.0\c Catalca
CTTX  412031.2N 282128.8E  378.0\c Catalca
CTU   404133.0N1114501.2W 1731.0Camp Tracy
CTV  C380157.5N 783122.1W  264.0Charlottesville
CTVN R205617.4N1054119.8E   50.0Chua Tram
CTW   334047.0N1155218.0W  561.0Cottonwood Mountains
CU-                             (Alternate Abbreviation for CU-NV)
CU-NVC384038.0N1152718.0W 1646.0Currant
CUC  R395935.2N 154856.2E  665.0Castrocucco
CUG   401113.0N  83411.4E  445.0Cuglieri
CUL  C244828.8N1071857.6W    0.0Culiacan
CULB R181836.0N 651948.0W    0.0Culebra
CUM   102754.0N 641010.0W   24.0Cuman\'a
CUMB R  4012.0S 782548.0W 5820.0Cumbre
CUMC    5738.4N 775220.4W 3950.0Nevado de Cumbal
CUN  R412844.0N 972248.0W  467.0Columbus
CUNY  404400.6N 734904.1W   20.0Queens College
CUP  C182006.0N 651832.4W  120.0Culebra
CUPA    2159.4N 793000.0W  113.0Cupa
CUPM C193613.0N 973707.0W 2450.0Cuyoaco
CUR  C500600.0N 882100.0E 1500.0Chagan-Uzun
CUS   133348.0S 715236.0W 3240.0Cuzco
CUSS  135433.0N 895650.0W  678.0Cusmapa
CUSU   12634.2S 782849.8W 2700.0Cusua
CUT   622416.8N1501610.2W  168.0Chulitna
CUU  R     0.0N      0.0E    0.0Chihuahua
CUV    84456.4N 710336.0W 2940.0La Culata
CV-                             (Alternate Abbreviation for CV-TN)
CV-TNC354612.0N 872304.0W  183.0Centerville
CVA   603247.4N1454457.6W   90.0Cordova
CVAL  373706.0N1214529.4W  201.0Veterans Administration Hospital
CVC   354927.0N1202104.2W    0.0Cholame Valley
CVD   441852.2N 280157.4E   82.0Cernavod\u a
CVE   382751.0N1125106.0W 1890.0Cedar Cove
CVF  C423403.0N  85210.0E  530.0Calvi
CVI   383532.4N 155413.6E    0.0Capo Vaticano
CVJ   181334.3N 773205.3W  985.6Coleyville
CVL  C375853.0N 782739.0W  167.0Charlottesville
CVLM  373734.8N1215008.4W  245.0Vallecito
CVLQ  203524.0S1473632.4E  102.0Collinsville
CVM  C192255.7N 991042.5W    0.0Colonia del Valle
CVN   312700.0S 194542.0E 1050.0Calvinia
CVO   454920.0N 261026.0E  635.0Covasna
CVP   174210.8N1214919.2E   60.0Callao Caves
CVPM  375302.4N1221319.2W  568.0Vollmer Peak
CVR   372704.2N1214757.0W  265.0Calaveras Reservoir
CVS   382042.9N1222730.2W  295.1Carmenet Vineyard
CVT  C374040.8N 124731.2E    0.0Castelvetrano
CVV   375853.0N 782739.0W  167.0Charlottesville
CVVD C274915.0N 175610.0W  450.0Valverde--Aguarijo
CVZ  R     0.0N      0.0E    0.0Castel Venzago
CW-                             (Alternate Abbreviation for CW-AR)
CW-ARC350808.0N 915840.0W  152.0Conway
CWB   530929.0N1315948.0W  620.0Cumshewa
CWC   362623.6N1180448.6W 1553.0Cottonwood Creek
CWCR C372941.4N1181822.8W 2000.0Coldwater Canyon
CWF   524417.8N  11826.1W  186.5Charnwood Forest
CWPT  360032.8N 893735.0W   76.0Cottonwood Point
CWT  C343413.2N1002037.2W  549.0Childress
CWU   402645.2N1120607.8W 1945.0Camp Williams
CWZ   462927.6N1220043.6W  305.0Cowlitz River
CX-                             (Alternate Abbreviation for CX-WV)
CX-WVC381923.0N 803825.0W  732.0Craigsville
CXM   144840.8N 611006.6W 1240.0Morne La Croix
CXP  C181631.4N 970830.3W    0.0
CY-                             (Alternate Abbreviation for CY-WY)
CY-WYC412500.0N1045136.0W 1920.0Cheyenne
CYA   282630.0S 654807.2W  609.0Choya
CYBM  374840.8N1222139.0W   24.0Yerba Buena Island
CYC  C374729.4N1215653.5W  219.0Crow Canyon Road
CYH  C373332.4N1220537.2W   38.0Coyote Hills
CYK   600458.8N1422904.8W    3.0Cape Yakataga
